ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
27,Minnesota,MN,27037,Dakota County,27037,"Dakota County, Minnesota",562.55649433346,439179,0,174164,141,169404,608,43698,2445,9146,802,35410,1396,13187,940,16349,1196,65838,44,105529,99,43378,1746,10325,794,6927,802,108019,867,29919,1258,3156,310,2996,453,7540,572,3334,44,10.0,0.6,3.7,0.3,20.9,0.8,4.4,0.3,3.7,0.3,15.0,0.1,24.0,0.1,9.9,0.4,6.1,0.5,1.7,0.2,24.6,0.2,17.2,0.7,1.8,0.2,1.7,0.3,4.5,0.3,0.8,0.0,0.0698,0.5,0.5581,0.0814,0.1512,1.3605,0.1977,0.1047,0.686,0.1047,0.8488,0.8372,2.5814,0.6163,0.9186,0.9186,0.9186,0.9419,0.1395,0.4884,0.2558,0.0,1.8256,0.2442,6.6861,0.3372,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,401401,11162,745,30600,1066,33779,0,22502,558,782,186,26,45,18393,1096,1937,583,6.6,0.4,7.0,0.2,7.7,0.0,5.1,0.1,0.2,0.1,0.0,0.1,4.2,0.2,0.4,0.1
27,Minnesota,MN,27039,Dodge County,27039,"Dodge County, Minnesota",439.396165625824,20893,0,8334,47,7827,168,1691,275,337,112,1227,181,590,110,1001,205,3169,22,5301,20,2002,207,369,111,172,105,1956,61,378,103,417,108,141,77,296,94,165,8,8.2,1.3,2.9,0.9,15.7,2.3,4.2,0.8,4.8,1.0,15.2,0.1,25.4,0.1,9.6,1.0,4.7,1.4,0.9,0.5,9.4,0.3,4.5,1.2,5.0,1.3,1.9,0.9,3.8,1.2,0.8,0.0,0.0233,0.2209,0.0233,0.0581,0.4419,0.7675,0.0233,0.1279,0.8837,0.0698,0.4651,0.6279,2.1744,0.2791,0.3488,0.3488,0.3488,0.1163,0.6395,0.593,0.1047,0.0,1.4535,0.1395,4.7442,0.0581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14611,844,122,160,58,1066,0,114,28,56,23,0,17,459,76,101,52,10.8,1.5,0.8,0.3,5.1,0.0,0.5,0.1,0.3,0.1,0.0,0.1,2.2,0.4,0.5,0.2
27,Minnesota,MN,27041,Douglas County,27041,"Douglas County, Minnesota",636.877589164222,39081,0,21881,70,17252,342,5952,733,619,147,3615,384,1216,201,1393,225,9233,53,8385,0,4600,381,937,190,107,108,2101,130,2543,262,937,179,213,101,938,204,688,19,15.4,1.9,3.1,0.7,21.0,2.2,4.3,0.7,3.6,0.6,23.6,0.1,21.5,0.0,11.9,1.0,5.4,1.1,0.3,0.3,5.4,0.3,11.6,1.2,4.3,0.8,1.2,0.5,5.4,1.2,1.8,0.0,0.2326,0.314,0.593,0.0698,0.1279,1.3373,0.186,0.8023,0.1977,0.3372,0.6744,0.2093,2.2209,0.3488,0.0465,0.0465,0.0465,0.8256,0.5465,0.2791,0.5814,0.3721,2.6047,0.5814,6.2094,0.2791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39616,2440,273,148,90,767,0,191,68,100,45,120,91,691,146,84,78,14.1,1.6,0.4,0.2,2.0,0.0,0.5,0.2,0.3,0.1,0.3,0.2,1.8,0.4,0.2,0.2
27,Minnesota,MN,27043,Faribault County,27043,"Faribault County, Minnesota",712.479128343358,13931,0,6915,42,6006,158,2905,279,306,82,1097,134,668,100,726,163,3182,31,3037,37,1820,126,277,80,84,74,1562,92,319,79,78,42,49,31,309,73,292,58,21.3,2.0,4.3,1.1,18.3,2.2,6.7,1.0,5.3,1.2,22.8,0.2,21.8,0.3,13.3,0.9,4.6,1.3,0.6,0.6,11.2,0.7,4.6,1.1,1.1,0.6,0.8,0.4,5.1,1.2,2.1,0.4,0.8372,0.6744,0.2558,0.4767,0.6512,2.8953,0.6163,0.7558,0.3372,0.6047,0.4302,0.407,2.5349,0.5698,0.4767,0.4767,0.4767,0.1279,0.0465,0.1279,0.4651,0.5,1.2674,0.0698,7.1743,0.3953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11541,906,97,64,27,1072,0,66,16,34,26,0,15,246,58,80,83,15.1,1.6,0.5,0.2,7.7,0.0,0.5,0.1,0.2,0.2,0.0,0.1,1.8,0.4,0.6,0.6
27,Minnesota,MN,27045,Fillmore County,27045,"Fillmore County, Minnesota",861.333013870462,21251,0,9609,86,8460,152,3346,303,353,71,1567,138,1183,143,1652,252,4559,19,5199,14,2317,180,345,62,113,62,1101,64,441,82,311,64,135,40,522,94,466,19,16.2,1.5,3.2,0.6,18.5,1.6,8.1,1.0,7.9,1.2,21.5,0.1,24.5,0.1,11.1,0.9,4.1,0.7,0.6,0.3,5.2,0.3,4.6,0.9,3.2,0.7,1.6,0.4,6.2,1.1,2.2,0.1,0.3605,0.3721,0.2791,0.8023,0.9302,2.7442,0.5349,0.6395,0.7558,0.1977,0.2558,0.407,2.2558,0.3721,0.0349,0.0349,0.0349,0.1279,0.407,0.4302,0.7326,0.5698,2.2675,0.4419,7.3024,0.4186,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14838,1346,100,96,32,402,0,121,26,11,10,0,17,416,75,55,32,15.9,1.1,0.5,0.2,1.9,0.0,0.6,0.1,0.1,0.1,0.0,0.1,2.0,0.4,0.3,0.2
27,Minnesota,MN,27047,Freeborn County,27047,"Freeborn County, Minnesota",707.244826541288,30857,0,14150,64,12890,233,6319,628,669,171,2567,314,2522,286,2007,379,6900,59,6745,0,4110,342,684,162,644,186,5300,45,1158,171,332,79,234,85,816,160,574,35,20.8,2.1,4.4,1.1,19.9,2.4,11.5,1.3,6.6,1.2,22.4,0.2,21.9,0.0,13.5,1.1,5.3,1.3,2.2,0.6,17.2,0.1,8.2,1.2,2.3,0.6,1.9,0.6,6.3,1.2,1.9,0.1,0.7674,0.7326,0.4419,0.9535,0.8721,3.7675,0.8721,0.7093,0.3605,0.6395,0.6512,0.8721,3.2326,0.8953,0.814,0.814,0.814,0.593,0.2093,0.593,0.7558,0.4186,2.5697,0.5581,10.3838,0.8605,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27104,2135,243,345,70,3284,0,909,143,34,20,8,15,716,180,4,5,16.6,1.8,1.1,0.2,10.6,0.0,2.9,0.5,0.1,0.1,0.0,0.1,2.3,0.6,0.0,0.1
27,Minnesota,MN,27049,Goodhue County,27049,"Goodhue County, Minnesota",756.712897795726,47697,0,20905,62,19633,224,6662,729,990,199,4175,407,1862,266,2508,405,9508,71,10537,0,4743,333,768,182,313,108,4583,236,2308,287,1130,177,148,59,1291,230,1076,22,14.2,1.6,4.0,0.8,21.3,2.1,5.5,0.8,5.4,0.9,19.9,0.1,22.1,0.0,10.1,0.7,4.0,0.9,0.7,0.2,9.6,0.5,11.0,1.4,5.4,0.8,0.7,0.3,6.6,1.2,2.3,0.0,0.1628,0.593,0.6163,0.2326,0.6744,2.2791,0.4302,0.4419,0.3953,0.1163,0.2326,0.5233,1.7094,0.0698,0.3605,0.3605,0.3605,0.7907,0.6744,0.0581,0.8023,0.5814,2.9069,0.686,7.2559,0.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44236,2068,240,749,110,1728,0,407,66,479,86,0,20,973,202,247,196,10.5,1.2,1.6,0.2,3.6,0.0,0.9,0.1,1.0,0.2,0.0,0.1,2.0,0.4,0.5,0.4
27,Minnesota,MN,27051,Grant County,27051,"Grant County, Minnesota",547.799734580964,6091,0,3166,29,2540,75,1273,202,113,39,588,71,292,60,308,68,1425,13,1395,13,923,71,115,30,18,50,407,26,171,39,133,37,31,18,107,29,99,5,21.2,3.4,3.7,1.3,23.1,2.7,6.7,1.4,5.1,1.1,23.4,0.2,22.9,0.2,15.3,1.2,4.5,1.2,0.3,0.9,6.7,0.4,5.4,1.2,4.2,1.2,1.2,0.6,4.2,1.1,1.6,0.1,0.8256,0.5,0.7558,0.4767,0.5465,3.1046,0.7209,0.7791,0.4535,0.8256,0.407,0.2093,2.6745,0.7093,0.1512,0.1512,0.1512,0.3023,0.5349,0.2791,0.2093,0.2907,1.6163,0.2209,7.5466,0.4884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4864,363,54,38,31,154,0,8,7,28,16,0,13,159,39,20,13,14.3,2.1,0.6,0.5,2.5,0.0,0.1,0.1,0.5,0.3,0.0,0.3,2.6,0.6,0.3,0.2
27,Minnesota,MN,27053,Hennepin County,27053,"Hennepin County, Minnesota",554.005431177038,1270787,0,556973,344,529029,1731,193997,5114,31784,1504,130111,3098,54745,1882,59369,2381,187519,22,275165,0,127731,2950,28620,1306,32105,1746,420612,1625,167422,2809,1726,253,14682,998,47132,1566,27019,307,15.5,0.4,4.3,0.2,24.6,0.6,6.2,0.2,4.7,0.2,14.8,0.1,21.7,0.0,10.1,0.2,5.5,0.2,2.7,0.1,33.1,0.1,30.1,0.5,0.3,0.1,2.8,0.2,8.9,0.3,2.1,0.0,0.2674,0.6744,0.9186,0.3953,0.407,2.6627,0.5233,0.093,0.2558,0.1163,0.7209,0.907,2.093,0.2326,0.9651,0.9651,0.9651,1.0,0.0,0.8488,0.9767,0.5,3.3255,0.8256,9.0463,0.6977,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,2,5,1580906,44274,1412,167289,2130,89878,0,90086,1307,5687,462,262,78,58925,2629,8485,1389,8.4,0.3,13.2,0.2,7.1,0.0,7.1,0.1,0.4,0.1,0.0,0.1,4.6,0.2,0.7,0.1
27,Minnesota,MN,27055,Houston County,27055,"Houston County, Minnesota",552.113036008172,18826,0,8725,79,8028,187,2427,281,158,50,1465,181,699,155,909,222,4166,47,4094,61,2118,226,293,99,99,115,1122,214,339,109,351,94,56,28,279,87,284,9,13.1,1.5,1.6,0.5,18.2,2.2,5.2,1.2,4.9,1.2,22.1,0.3,21.7,0.3,11.4,1.2,3.7,1.2,0.6,0.6,6.0,1.1,3.9,1.2,4.0,1.1,0.7,0.3,3.5,1.1,1.5,0.0,0.1163,0.0349,0.2209,0.2093,0.5,1.0814,0.1047,0.6744,0.2558,0.2791,0.1512,0.407,1.7675,0.093,0.093,0.093,0.093,0.0814,0.5116,0.0581,0.093,0.2326,0.9767,0.0233,3.9186,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14553,1043,152,107,59,267,0,93,40,40,25,0,15,615,228,0,15,13.0,1.9,0.6,0.3,1.4,0.0,0.5,0.2,0.2,0.1,0.0,0.1,3.3,1.2,0.0,0.1
